class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,radius,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,weight,ring-number,ring-type,spore-print-color,population,habitat
p,f,s,e,f,s,f,c,n,b,t,?,215,s,k,p,w,p,w,38,o,e,w,v,l
p,x,y,w,t,p,f,c,n,k,e,e,94,s,s,w,w,p,w,43,o,p,n,v,u
e,f,s,n,t,n,f,c,b,e,e,?,244,s,s,e,e,p,w,37,t,e,w,c,w
p,x,s,e,f,y,f,c,n,b,t,?,286,k,s,p,w,p,w,82,o,e,w,v,l
e,x,s,w,t,l,f,c,b,n,e,c,110,s,s,w,w,p,w,36,o,p,n,s,m
p,x,f,y,f,f,f,c,b,h,e,b,66,k,k,p,n,p,w,23,o,l,h,y,g
e,f,s,g,f,n,f,w,b,p,t,e,11,s,s,w,w,p,w,43,o,e,n,a,g
e,f,f,n,t,n,f,c,b,u,t,b,207,s,s,g,w,p,w,25,o,p,n,v,d
p,x,y,e,f,f,f,c,n,b,t,?,60,s,s,p,p,p,w,50,o,e,w,v,p
p,x,s,g,t,f,f,c,b,h,t,b,84,s,s,w,w,p,w,47,o,p,h,v,g
p,x,s,n,f,y,f,c,n,b,t,?,385,k,s,p,p,p,w,34,o,e,w,v,d
p,x,f,y,f,f,f,c,b,h,e,b,3,k,k,b,b,p,w,43,o,l,h,v,d
e,x,y,w,t,l,f,c,b,g,e,c,59,s,s,w,w,p,w,23,o,p,n,n,g
e,f,f,g,t,n,f,c,b,u,t,b,57,s,s,w,g,p,w,36,o,p,n,v,d
p,x,f,g,f,f,f,c,b,h,e,b,151,k,k,p,n,p,w,64,o,l,h,y,d
e,x,y,w,f,n,f,c,n,p,e,?,264,s,f,w,w,p,w,23,o,f,h,v,d
e,x,f,g,t,n,f,c,b,n,t,b,183,s,s,g,p,p,w,60,o,p,k,v,d
p,x,s,w,f,c,f,c,n,u,e,b,315,s,s,w,w,p,w,40,o,p,k,v,d
p,f,s,n,f,y,f,c,n,b,t,?,298,k,s,p,w,p,w,23,o,e,w,v,l
e,f,f,w,t,l,f,w,n,p,t,b,99,s,s,w,w,p,w,26,o,p,u,v,d
p,f,s,e,f,s,f,c,n,b,t,?,782,k,s,p,w,p,w,38,o,e,w,v,p
e,b,s,g,f,n,f,w,b,p,e,?,262,k,k,w,w,p,w,23,t,p,w,s,g
p,x,f,y,f,f,f,c,b,p,e,b,129,k,k,b,n,p,w,23,o,l,h,y,g
e,x,y,e,t,n,f,c,b,w,t,b,55,s,s,g,p,p,w,23,o,p,n,v,d
e,x,y,e,t,n,f,c,b,p,t,b,115,s,s,w,g,p,w,27,o,p,n,v,d
e,x,f,e,t,n,f,c,b,w,t,b,186,s,s,g,p,p,w,23,o,p,k,v,d
e,f,s,n,f,n,f,w,b,n,t,e,7,s,f,w,w,p,w,50,o,e,k,a,g
p,f,s,e,f,y,f,c,n,b,t,?,417,k,s,w,w,p,w,46,o,e,w,v,d
p,f,s,n,f,y,f,c,n,b,t,?,226,s,s,w,p,p,w,32,o,e,w,v,l
e,x,y,g,t,n,f,c,b,w,t,b,59,s,s,p,p,p,w,36,o,p,n,v,d
e,x,s,y,t,l,f,w,n,w,t,b,5,s,s,w,w,p,w,28,o,p,n,v,d
p,f,y,n,f,m,f,c,b,w,e,c,286,k,y,c,c,p,w,45,n,n,w,c,d
e,f,s,n,f,n,f,w,b,n,t,e,9,f,s,w,w,p,w,39,o,e,k,s,g
e,f,y,e,t,n,f,c,b,u,t,b,21,s,s,w,g,p,w,63,o,p,k,v,d
e,x,f,g,f,n,f,w,b,p,e,?,495,k,s,w,w,p,w,27,t,p,w,s,g
e,x,s,y,t,a,f,c,b,w,e,c,31,s,s,w,w,p,w,62,o,p,k,n,m
e,k,s,w,f,n,f,w,b,p,e,?,11,k,k,w,w,p,w,27,t,p,w,s,g
e,b,f,w,f,n,f,w,b,p,e,?,618,k,k,w,w,p,w,29,t,p,w,n,g
p,x,s,w,t,f,f,c,b,w,t,b,3,f,s,w,w,p,w,24,o,p,h,v,u
p,k,y,n,f,f,f,c,n,b,t,?,461,s,k,p,w,p,w,48,o,e,w,v,l
p,x,y,g,f,f,f,c,b,p,e,b,30,k,k,n,p,p,w,23,o,l,h,y,p
e,b,f,w,f,n,f,w,b,w,e,?,658,s,s,w,w,p,w,36,t,p,w,n,g
e,x,f,e,t,n,f,c,b,u,t,b,151,s,s,g,w,p,w,50,o,p,k,y,d
e,f,s,g,f,n,f,w,b,n,t,e,39,s,f,w,w,p,w,48,o,e,k,s,g
p,f,y,y,f,f,f,c,b,h,e,b,377,k,k,b,n,p,w,28,o,l,h,v,p
p,f,s,e,f,f,f,c,n,b,t,?,45,k,s,w,w,p,w,23,o,e,w,v,p
p,k,y,n,f,m,a,c,b,w,e,c,582,k,y,c,c,p,w,23,n,n,w,c,d
p,f,f,g,f,f,f,c,b,h,e,b,102,k,k,p,b,p,w,26,o,l,h,y,p
p,f,f,g,f,f,f,c,b,g,e,b,180,k,k,p,p,p,w,23,o,l,h,v,p
e,f,f,w,f,n,f,w,b,n,t,e,196,f,f,w,w,p,w,31,o,e,n,s,g
p,x,f,g,f,f,f,c,b,g,e,b,286,k,k,b,p,p,w,29,o,l,h,v,g
e,x,y,g,t,n,f,c,b,u,t,b,318,s,s,w,w,p,w,40,o,p,k,v,d
e,x,y,n,t,n,f,c,b,w,t,b,8,s,s,p,g,p,w,32,o,p,k,y,d
p,k,s,n,f,s,f,c,n,b,t,?,793,k,k,w,w,p,w,26,o,e,w,v,d
e,b,s,n,f,n,a,c,b,y,e,?,7,s,s,o,o,p,o,62,o,p,o,c,l
e,f,s,n,f,n,f,w,b,n,t,e,25,s,f,w,w,p,w,53,o,e,k,s,g
p,f,y,y,f,f,f,c,b,g,e,b,77,k,k,b,p,p,w,47,o,l,h,y,d
e,b,s,g,f,n,f,w,b,w,e,?,586,k,s,w,w,p,w,24,t,p,w,n,g
e,f,f,e,t,n,f,c,b,w,t,b,7,s,s,p,w,p,w,24,o,p,k,v,d
p,k,y,n,f,f,f,c,n,b,t,?,174,k,k,p,p,p,w,33,o,e,w,v,d
e,f,y,w,f,n,f,c,n,w,e,?,92,s,f,w,w,p,w,32,o,f,h,y,d
p,k,s,e,f,f,f,c,n,b,t,?,291,s,s,w,w,p,w,33,o,e,w,v,d
p,k,s,e,f,f,f,c,n,b,t,?,204,k,k,w,p,p,w,23,o,e,w,v,l
p,f,s,g,t,f,f,c,b,h,t,b,153,f,f,w,w,p,w,33,o,p,h,s,g
p,f,s,e,f,y,f,c,n,b,t,?,3500,s,k,p,w,p,w,24,o,e,w,v,p
p,x,y,n,f,s,f,c,n,b,t,?,134,k,s,p,w,p,w,25,o,e,w,v,p
e,x,s,n,f,n,f,w,b,n,t,e,2,f,f,w,w,p,w,56,o,e,k,s,g
e,f,f,n,t,n,f,c,b,n,t,b,5,s,s,p,g,p,w,24,o,p,k,y,d
p,x,y,g,f,f,f,c,b,g,e,b,86,k,k,n,b,p,w,23,o,l,h,y,d
p,x,s,n,f,f,f,c,n,b,t,?,10,k,k,p,p,p,w,46,o,e,w,v,l
p,f,f,g,f,f,f,c,b,p,e,b,180,k,k,p,b,p,w,30,o,l,h,v,g
p,x,y,n,t,p,f,c,n,p,e,e,141,s,s,w,w,p,w,0,o,p,k,v,g
p,f,y,e,f,s,f,c,n,b,t,?,129,k,k,p,p,p,w,27,o,e,w,v,l
p,f,y,y,f,f,f,c,b,p,e,b,194,k,k,b,b,p,w,59,o,l,h,y,d
p,x,s,n,f,s,f,c,n,b,t,?,9,k,k,w,p,p,w,23,o,e,w,v,l
p,x,s,w,t,f,f,c,b,p,t,b,74,f,s,w,w,p,w,23,o,p,h,s,u
p,x,s,e,f,s,f,c,n,b,t,?,668,k,s,p,p,p,w,23,o,e,w,v,l
e,f,s,n,f,n,a,c,b,o,e,?,10,s,s,o,o,p,o,23,o,p,o,v,l
e,f,f,g,f,n,f,w,b,p,t,e,111,s,f,w,w,p,w,23,o,e,k,a,g
e,x,y,n,t,n,f,c,b,n,t,b,21,s,s,w,w,p,w,54,o,p,k,y,d
p,f,f,y,f,f,f,c,b,h,e,b,322,k,k,b,b,p,w,27,o,l,h,v,g
e,f,f,e,t,n,f,c,b,w,t,b,188,s,s,p,g,p,w,50,o,p,k,y,d
p,f,y,w,t,p,f,c,n,p,e,e,299,s,s,w,w,p,w,22,o,p,k,v,g
e,x,s,n,f,n,a,c,b,o,e,?,493,s,s,o,o,p,n,42,o,p,b,c,l
e,f,y,n,t,n,f,c,b,n,t,b,220,s,s,w,g,p,w,35,o,p,k,v,d
p,k,s,n,f,s,f,c,n,b,t,?,467,s,k,w,p,p,w,23,o,e,w,v,d
e,f,f,e,t,n,f,c,b,n,t,b,420,s,s,w,p,p,w,24,o,p,n,y,d
p,f,f,g,f,f,f,c,b,g,e,b,177,k,k,b,b,p,w,23,o,l,h,v,d
p,x,y,n,t,p,f,c,n,k,e,e,32,s,s,w,w,p,w,26,o,p,k,s,u
e,b,s,n,f,n,a,c,b,y,e,?,439,s,s,o,o,p,n,56,o,p,b,c,l
e,x,f,w,f,n,f,w,b,p,t,e,4,f,s,w,w,p,w,23,o,e,k,a,g
p,f,y,y,f,f,f,c,b,h,e,b,34,k,k,p,n,p,w,42,o,l,h,y,p
e,f,f,e,t,n,f,c,b,n,t,b,446,s,s,g,w,p,w,26,o,p,n,y,d
e,x,y,g,t,n,f,c,b,w,t,b,71,s,s,w,g,p,w,26,o,p,k,v,d
p,f,f,y,f,f,f,c,b,g,e,b,67,k,k,b,n,p,w,36,o,l,h,v,d
e,f,f,n,t,n,f,c,b,w,t,b,181,s,s,p,p,p,w,45,o,p,k,y,d
e,b,s,y,t,l,f,c,b,g,e,c,36,s,s,w,w,p,w,43,o,p,k,n,m
e,x,y,y,t,a,f,c,b,n,e,c,56,s,s,w,w,p,w,26,o,p,k,s,m
e,x,f,g,f,n,f,w,b,p,e,?,416,s,k,w,w,p,w,43,t,p,w,n,g
